name,artist,thumbnailURL,album,link,length,views,date,albumYear,albumThumbnail
怪獣の花唄 - Kaiju no Hanauta,Vaundy,https://img.youtube.com/vi/kNDbaYEp0tU/maxresdefault.jpg,strobo,https://music.youtube.com/watch?v=kNDbaYEp0tU,3:45,65232727,2020-05-26,2020,https://lh3.googleusercontent.com/ZeE1g4xevNUYH6zCrKkFfxIWUNgMPeM98AGUdMjKFReG0qKobV93d1zxTUdfGDsDFNhN1JaDQa9Wczc=w544-h544-l90-rj
裸の勇者 - Hadaka No Yusha,Vaundy,https://img.youtube.com/vi/yPdqcADl5U4/maxresdefault.jpg,replica,https://music.youtube.com/watch?v=yPdqcADl5U4,3:23,7972102,2023-11-14,2023,https://lh3.googleusercontent.com/sHjo10Puz--32IVM8hMv5mS3fNui28ODdiOoNKyvMyeuOKotrqrKAm5eVZKUkA6xpaLHqQts28JSDlIF3A=w544-h544-l90-rj
Tokimeki,Vaundy,https://img.youtube.com/vi/GXc9h3hXRUk/maxresdefault.jpg,Tokimeki,https://music.youtube.com/watch?v=GXc9h3hXRUk,3:32,19745542,2021-09-21,2021,https://lh3.googleusercontent.com/M_oaRBh_HM2sp0bBj90eSX1JvsJliaffVhsYWIeoIUQlnolQoOujchVeBQt7KZz63XEuqXq89ue2Hz45=w544-h544-l90-rj
Bunny Girl,AKASAKI,https://img.youtube.com/vi/_GXbXU4g_CA/maxresdefault.jpg,Bunny Girl,https://music.youtube.com/watch?v=_GXbXU4g_CA,3:38,24652068,2024-10-01,2024,https://lh3.googleusercontent.com/Ot08oz0QaXxLKXKhFao8p-_-9xtE0hPYRmUFPOF2tyzXZ3SArdsNn-MsQ5f21Xa39M8w2tRLyhjrFw17Hw=w544-h544-l90-rj
CYAN,frederic,https://img.youtube.com/vi/nhGSEYSG9VM/maxresdefault.jpg,CYAN,https://music.youtube.com/watch?v=nhGSEYSG9VM,4:07,701092,2024-06-04,2024,https://lh3.googleusercontent.com/eWyZtTxk8dxjnBqgc0cMeEP3oOFv-hhPs1IJlMtuMGASlAP8ZmWCvuSUQbUgVQJ7rOrcvEQhoMj6qqPK7Q=w544-h544-l90-rj
春雷 - Shunrai,Kenshi Yonezu,https://img.youtube.com/vi/Vc3vuOaiejU/maxresdefault.jpg,BOOTLEG,https://music.youtube.com/watch?v=Vc3vuOaiejU,4:49,8554152,2021-08-10,2017,https://lh3.googleusercontent.com/DifNlPEylzkpfspUX3Bus2AvHU7YYsAgdfiCztA1PktkUvtsg7EJQq_JUtuvEl7ir5LUjQmOFp067xkg=w544-h544-l90-rj
メロドラマ - Melodrama,natori/imase,https://img.youtube.com/vi/AkLbul1GzsE/maxresdefault.jpg,Melodrama,https://music.youtube.com/watch?v=AkLbul1GzsE,3:48,1795711,2024-08-29,2024,https://lh3.googleusercontent.com/nFwafrq-QXvILKa9y2MO0rUgmpBYTQDpyoJHVd6Vi7RH7Xx-4j2P1ASPVABCCONCaNpNxJELDsYWhnV0JQ=w544-h544-l90-rj
メトロシティ - Metrocity,natori/imase,https://img.youtube.com/vi/vxPmk8ueQ1c/maxresdefault.jpg,Metrocity,https://music.youtube.com/watch?v=vxPmk8ueQ1c,3:21,3387650,2024-09-24,2024,https://lh3.googleusercontent.com/1Zflw3LQpAfHui_jscuEadz_bO_aYRNQYhJ0EFt2us4yqRI5ZZa2g1ur2N2WeaKt-NphXJxaWjq4Gn6kow=w544-h544-l90-rj
ノーダウト - No Doubt,Official Hige Dandism,https://img.youtube.com/vi/zRBcYVY5A2Y/maxresdefault.jpg,No Doubt,https://music.youtube.com/watch?v=zRBcYVY5A2Y,3:22,49585790,2018-07-23,2018,https://lh3.googleusercontent.com/7YBK191_263SgfIzXmtGXrijzRpWkcy8rj0ZWoYfv1RRHlCYgADydk51a5FJ9ayCNpaBQqM6L1RdJoKneA=w544-h544-l90-rj
名前は片想い - Namae wa Kataomoi,indigo la End,https://img.youtube.com/vi/iWNI2Y_Sq3o/maxresdefault.jpg,Namae wa Kataomoi,https://music.youtube.com/watch?v=iWNI2Y_Sq3o,3:37,9349726,2023-01-24,2023,https://lh3.googleusercontent.com/AdZiDSMtePBwVM2DCi6mA6j9kwOd3Vxhxb6bloJSWXmgy_taa-l4w3Yl503gPqZkdv1DAnYINZylr0bPDQ=w544-h544-l90-rj
